"state","state_abb","county","stcty","FIPS","year","crsi_NaturalEnvironment","IMPACTS_drought","IMPACTS_extremeheat","IMPACTS_flooding","IMPACTS_precipitation","IMPACTS_sealevelrise","IMPACTS_stormsurge","IMPACTS_airqualityoutdoor","IMPACTS_airtemperature","IMPACTS_erosion","IMPACTS_seasonalshift","IMPACTS_vectors","IMPACTS_oceanacidification","IMPACTS_watertemperature","IMPACTS_NA","IMPACTS_extremestormevent","IMPACTS_wind","IMPACTS_ecosystems","IMPACTS_saltwaterintrusion","IMPACTS_extremecold","IMPACTS_airqualityindoor","IMPACTS_","IMPACTS_ecosystemsnaturalresources","IMPACTS_floodingprecipitation","IMPACTS_wildfires","IMPACTS_wildfire","FEATURE_ecosystemsnaturalresources","FEATURE_governmentfloodzonemapping","FEATURE_infrastructurebuilt","FEATURE_infrastructurecommunication","FEATURE_responseemergencydisasterpreparednessmitigation","FEATURE_socialoutreachcommunicationeducation","FEATURE_economiccostbenefitanalysis","FEATURE_economicecosystemservices","FEATURE_governmentbylawsordinancescodes","FEATURE_infrastructuretransportation","FEATURE_socialfoodsecurity","FEATURE_socialpublichealth","FEATURE_infrastructuredrinkingwater","FEATURE_responsedamsafety","FEATURE_socialculturalhistoricalresources","FEATURE_economicresilience","FEATURE_ecosystemscoastalprotection","FEATURE_governmentdownscaleclimatemodeling","FEATURE_infrastructureenergy","FEATURE_socialenvironmentaljustice","FEATURE_socialhousing","FEATURE_socialvulnerablepopulations","FEATURE_infrastructurestormwater","FEATURE_governmentlanduseregulations","FEATURE_infrastructurecoastal","FEATURE_infrastructurewastewater","FEATURE_ecosystemsagricultureforestry","FEATURE_governmentgreenhousegasmitigation","FEATURE_responsedebrismanagement","FEATURE_infrastructuregreen","FEATURE_ecosystemsriverine","FEATURE_socialvulnerablepopulation","PLAN_TYPE_vulnerabilityassessment","PLAN_TYPE_resilienceplan","PLAN_TYPE_femahazardmultihazardmitigationplans","PLAN_TYPE_harbormanagementplan","PLAN_TYPE_adaptationplan","PLAN_TYPE_municipalmasterorcomprehensiveplan","PLAN_TYPE_capitalimprovementsplan","PLAN_TYPE_coastalplan","PLAN_TYPE_casestudy","PLAN_TYPE_climateactionplan","PLAN_TYPE_webpage","PLAN_TYPE_presentation","PLAN_TYPE_measurementandevaluation","PLAN_TYPE_NA","PLAN_TYPE_landuseplanning","PLAN_TYPE_stormwaterplan","PLAN_TYPE_openspaceplan","PLAN_TYPE_zoningordinance","PLAN_TYPE_economicdevelopmentplanorstrategy","PLAN_TYPE_disasterrecoveryplan","PLAN_TYPE_femahazardmultihazardmitigation","PLAN_TYPE_evacuationplan","PLAN_TYPE_climatemitigationdocument","PLAN_TYPE_watershedmanagementplan","PLAN_TYPE_emergencyresponseplan","PLAN_TYPE_historicpreservationplan","PLAN_TYPE_floodplainmanagementplan","PLAN_TYPE_femahazardmitigationplan","PLAN_TYPE_stormwatermanagementplan","PLAN_TYPE_measurementandevaulation","PLAN_TYPE_coastalplanorcoastalelementinotherplan","COMMUNITY_town","COMMUNITY_organization","COMMUNITY_state","COMMUNITY_watershed","COMMUNITY_tribe","total_policy","SPL_THEMES","RPL_THEMES","SPL_THEME1","RPL_THEME1","SPL_THEME2","RPL_THEME2","SPL_THEME3","RPL_THEME3","SPL_THEME4","RPL_THEME4","EP_POV150","EPL_POV150","EP_UNEMP","EPL_UNEMP","E_TOTPOP","M_HBURD","M_NOHSDP","M_MINRTY","E_MINRTY","M_SNGPNT","M_MOBILE","E_LIMENG","M_LIMENG","STATE","COUNTY","PC1_imp","PC2_imp","PC3_imp","PC4_imp","PC1_fea","PC2_fea","PC3_fea","PC4_fea","PC1_plan","PC2_plan","PC3_plan","PC4_plan","PC5_plan","M_HBURD_POP","M_NOHSDP_POP","M_MINRTY_POP","M_SNGPNT_POP","M_MOBILE_POP","M_LIMENG_POP","first_treat","id","vulnerability"
NA,NA,NA,"CT_CAPITOL PLANNING REGION",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3263,0.7456,NA,NA,NA,NA,NA,NA,NA,NA,30649,0.6774,2531,0.7453,380841,226,9241,58211,245,12446,4224,75280,1215.3,NA,NA,-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.000593423502196455,0.0242647193973338,0.152848564098928,0.0326803049041463,0.0110912428021143,0.0031910954965458,0,1,NA
NA,NA,NA,"CT_CAPITOL PLANNING REGION",NA,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.192,0.8097,NA,NA,NA,NA,NA,NA,NA,NA,15.8,0.556,197,0.773,39823,2760,2218,9,1140,666,2061,76334,839,NA,NA,-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.0693066820681516,0.0556964568214348,0.000226000050222233,0.0167240037164453,0.0517540115008914,0.0210682269040504,0,1,NA
NA,NA,NA,"CT_CAPITOL PLANNING REGION",NA,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8847,0.2132,NA,NA,NA,NA,NA,NA,NA,NA,18.1,0.294,6.3,0.2005,512135,1009,1969,3061,164861,1780,494,10615,279.5,NA,NA,-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.00197018364298476,0.00384468938854013,0.00597693967410937,0.00347564606988392,0.000964589414900368,0.00054575453737784,0,1,NA
NA,NA,NA,"CT_CAPITOL PLANNING REGION",NA,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6255,0.7849,NA,NA,NA,NA,NA,NA,NA,NA,5906,0.7288,7.5,0.7795,750963,131,3722,124,414091,1182,428,75280,2179.3,NA,NA,-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.000174442682262641,0.00495630277390497,0.000165121317561584,0.00157397901094994,0.00056993487029321,0.00290200715614484,0,1,NA
NA,NA,NA,"CT_CAPITOL PLANNING REGION",NA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8641,0.2234,NA,NA,NA,NA,NA,NA,NA,NA,2834,0.5496,5.7,0.2719,123546,226,354,2260,1787,1271,829,7779,190,NA,NA,-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.00182927816359898,0.00286532951289398,0.0182927816359898,0.0102876661324527,0.0067100513169184,0.00153788872160976,0,1,NA
NA,NA,NA,"CT_CAPITOL PLANNING REGION",NA,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.192,0.7849,NA,NA,NA,NA,NA,NA,NA,NA,2796,0.8198,1017,0.8998,77445,2760,2027,8400,2389,425.5,1957,75280,96,NA,NA,-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.0356381948479566,0.0261734133901478,0.10846407127639,0.00549422170572664,0.0252695461295113,0.00123958938601588,0,1,NA
NA,NA,NA,"CT_CAPITOL PLANNING REGION","09110",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4149,0.5877,2.2037,0.3952,2.3602,0.427,0.7735,0.7735,3.0775,0.7891,16.9,0.2024,5.6,0.6777,977165,2626,2218,1386,383822,1354,358,33678,1852,"Connecticut","Capitol Planning Region",-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.00268736600267099,0.00226983160469317,0.00141838891077761,0.00138564111485778,0.00036636596685309,0.00189527868886012,0,1,0.5877
NA,NA,NA,"CT_GREATER BRIDGEPORT PLANNING REGION",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5192,0.8232,NA,NA,NA,NA,NA,NA,NA,NA,15789,0.5997,6.7,0.7795,58276,131,483,670,1787,5449,287,1758,1291,NA,NA,-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.00224792367355344,0.00828814606355961,0.0114970142082504,0.0935033289862036,0.0049248404145789,0.0221532020042556,0,2,NA
NA,NA,NA,"CT_GREATER BRIDGEPORT PLANNING REGION",NA,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7384,0.4155,NA,NA,NA,NA,NA,NA,NA,NA,6272,0.4636,7.5,0.6813,27256,135,1102,28,2389,971.2,188,112,406,NA,NA,-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.00495303786322278,0.0404314646316407,0.00102729674200176,0.0356325212797182,0.00689756383915468,0.0148958027590255,0,2,NA
NA,NA,NA,"CT_GREATER BRIDGEPORT PLANNING REGION",NA,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.363,0.1952,NA,NA,NA,NA,NA,NA,NA,NA,10.4,0.1165,11,0.7092,39717,1623,3400,5357,164861,1228,183,20609,44,NA,NA,-1.90205561844577,0.283265732016883,-0.360878349008256,0.220256304254983,-2.3884261013146,-0.264866245565068,-0.251018757583049,-0.191857168606742,-2.91948327099983,-0.411898075659322,0.444300575655357,-0.531287967098038,0.0490490627926145,0.0408641136037465,0.0856056600448171,0.134879270841201,0.0309187501573633,0.00460759876123574,0.00110783795352116,0,2,NA
